"","weekNum","highs","lows","avg","dewpoint","humidity","precip","region"
"1",1,25.1,10.7,17.6,11.7,72,0,"AB"
"2",2,24.1,10.7,16.9,10,65,0,"AB"
"3",3,24.6,9.9,15.75,9.15,65,0,"AB"
"4",4,25.45,11.05,18.55,10.7,65,0,"AB"
"5",5,24.4,8.6,16.9,8.1,62,0,"AB"
"6",6,17.7,6.9,13.3,6.3,72,0,"AB"
"7",7,12.3,2.8,7.3,3,78,NA,"AB"
"8",8,19.8,6.9,13.9,6,73,0,"AB"
"9",9,10.75,2.7,7.7,1.3,76,0,"AB"
"10",10,5.4,-1.4,2.15,-2.6,80,0,"AB"
"11",11,14.65,1.4,8.2,0.1,68,0,"AB"
"12",12,11.85,-0.7,5.5,-2.4,66.5,0,"AB"
"13",13,0.1,-5.8,-1.4,-5.8,85,0,"AB"
"14",14,-5.15,-14.15,-10,-13.15,83,0,"AB"
"15",15,-6.7,-11.2,-8.4,-10.7,88.5,0,"AB"
"16",16,-1.3,-11.25,-6.95,-10.2,80,0,"AB"
"17",17,3.6,-4.7,-0.7,-6.9,71,0,"AB"
"18",18,2.95,-5.3,-1.2,-8,69,0,"AB"
"19",19,6.1,-2,2.65,-4.3,67,0,"AB"
"20",20,-3.55,-8.6,-6.45,-10.1,72,0,"AB"
"21",21,-19.65,-25.65,-22,-25.95,77,0,"AB"
"22",22,-1.7,-9.1,-3.35,-8.8,79,0,"AB"
"23",23,0,-21.8,-10.7,-14.7,77,0,"AB"
"24",24,2.8,-7.15,-0.5,-8,70,0,"AB"
"25",25,-9.35,-14.1,-11.8,-14.6,84,0,"AB"
"26",26,-14.3,-20.65,-18.4,-21.2,81,0,"AB"
"27",1,29.5,14,21.7,15.9,76,0,"BC"
"28",2,24.6,12.3,18.3,12.7,73,0,"BC"
"29",3,27.1,11.5,19.4,11.8,68,0,"BC"
"30",4,30.7,13.3,21.7,14.1,67,0,"BC"
"31",5,27.8,15.4,22.7,15.8,74,0,"BC"
"32",6,24,10.3,17.2,11.4,75,0,"BC"
"33",7,16.75,8.7,12.8,9.1,85,NA,"BC"
"34",8,20.1,10.3,15.1,11.2,86,0.1,"BC"
"35",9,14,5.2,9.85,5.85,86.5,0,"BC"
"36",10,11.2,5.2,8.2,5.8,91,0,"BC"
"37",11,12.3,8.25,10.9,8.1,91,0.1,"BC"
"38",12,15.5,6.4,11.2,7.4,89,0,"BC"
"39",13,11.3,3.9,7,2,82,0,"BC"
"40",14,7.8,2.2,5.95,-0.7,70,0,"BC"
"41",15,9.7,6.1,7.9,5.6,88,0.05,"BC"
"42",16,8.9,6.05,7.6,4.7,95,0.25,"BC"
"43",17,7.1,5,6.1,4.9,95,0.03,"BC"
"44",18,5.9,-1,2.8,0.3,95,0,"BC"
"45",19,7.3,0.8,4.2,2,94,0,"BC"
"46",20,4.2,0.4,2.25,0.75,96,0,"BC"
"47",21,0.35,-2.4,-0.9,-3.15,88,0,"BC"
"48",22,2.65,-1.7,0,-1.5,95,0,"BC"
"49",23,5.3,2.1,3.9,2.2,96,0.71,"BC"
"50",24,9.85,4.9,7.1,3.8,84,0,"BC"
"51",25,5.2,2.1,3.6,2.5,94.5,0.165,"BC"
"52",26,7.6,4.1,6.1,4.3,97,0.33,"BC"
