WeekNum, NAIV,Waterfowl,Temperature,Snow,SoilMoisture,NDVI,Region,,,,,,,,,,,,,,NDVI,,,
1,6,10,1,8,5,6,AB,,,,,,,,,,,,,,,,,
2,8,10,1,8,5,6,AB,,,,,,,,,,,,,,,,,
3,8,10,1,8,4,6,AB,,,,,,,,,,,,,,,,,
4,8,10,1,8,4,6,AB,,,,,,,,,,,,,,,,,
5,8,10,1,8,4,5,AB,,,,,,,,,,,,,,,,,
6,8,10,6,8,6,5,AB,,,,,,,,,,,,,,,,,
7,8,10,9,3,7,5,AB,,,,,,,,,,,,,,,,,
8,8,10,6,8,7,5,AB,,,,,,,,,,,,,,,,,
9,8,10,9,8,7,5,AB,,,,,,,,,,,,,,,,,
10,8,10,9,8,7,5,AB,,,,,,,,,,,,,,,,,
11,8,10,9,3,7,5,AB,,,,,,,,,,,,,,,,,
12,8,10,9,3,7,5,AB,,,,,,,,,,,,,,,,,
13,8,7,9,3,5,5,AB,,,,,,,,,,,,,,,,,
14,6,2,4,1,6,4,AB,,,,,,,,,,,,,,,,,
15,6,2,4,1,,,AB,,,,,,,,,,,,,,,,,
16,6,2,4,1,,,AB,,,,,,,,,,,,,,,,,
17,6,2,8,1,,,AB,,,,,,,,,,,,,,,,,
18,7,2,8,1,,,AB,,,,,,,,,,,,,,,,,
19,7,2,8,1,,,AB,,,,,,,,,,,,,,,,,
20,7,2,4,1,,,AB,,,,,,,,,,,,,,,,,
21,7,2,1,1,,,AB,,,,,,,,,,,,,,,,,
22,7,2,8,1,,,AB,,,,,,,,,,,,,,,,,
23,7,2,1,1,,,AB,,,,,,,,,,,,,,,,,
24,7,2,8,1,,,AB,,,,,,,,,,,,,,,,,
25,7,2,1,1,,,AB,,,,,,,,,,,,,,,,,
26,7,2,1,1,,,AB,,,,,,,,,,,,,,,,,
1,7,1,2,8,7,6,BC,,,,,,,,,,,,,,,,,
2,7,1,2,8,3,6,BC,,,,,,,,,,,,,,,,,
3,7,1,2,8,6,6,BC,,,,,,,,,,,,,,,,,
4,7,1,2,8,6,6,BC,,,,,,,,,,,,,,,,,
5,7,3,2,8,7,5,BC,,,,,,,,,,,,,,,,,
6,7,7,2,8,5,6,BC,,,,,,,,,,,,,,,,,
7,7,7,4,8,6,6,BC,,,,,,,,,,,,,,,,,
8,7,7,3,8,5,6,BC,,,,,,,,,,,,,,,,,
9,7,3,8,8,5,6,BC,,,,,,,,,,,,,,,,,
10,7,3,8,8,6,6,BC,,,,,,,,,,,,,,,,,
11,7,3,7,8,,6,BC,,,,,,,,,,,,,,,,,
12,7,10,7,8,8,7,BC,,,,,,,,,,,,,,,,,
13,7,10,9,7,7,7,BC,,,,,,,,,,,,,,,,,
14,7,10,9,7,7,6,BC,,,,,,,,,,,,,,,,,
15,7,10,9,7,4,6,BC,,,,,,,,,,,,,,,,,
16,7,7,9,7,8,6,BC,,,,,,,,,,,,,,,,,
17,7,10,9,7,8,6,BC,,,,,,,,,,,,,,,,,
18,7,10,9,7,6,6,BC,,,,,,,,,,,,,,,,,
19,7,10,9,7,5,6,BC,,,,,,,,,,,,,,,,,
20,7,7,9,3,6,6,BC,,,,,,,,,,,,,,,,,
21,7,10,9,3,7,6,BC,,,,,,,,,,,,,,,,,
22,7,10,9,7,6,6,BC,,,,,,,,,,,,,,,,,
23,8,3,9,7,6,6,BC,,,,,,,,,,,,,,,,,
24,8,3,9,7,6,6,BC,,,,,,,,,,,,,,,,,
25,8,3,9,7,6,6,BC,,,,,,,,,,,,,,,,,
26,8,3,9,7,8,6,BC,,,,,,,,,,,,,,,,,
