"","weekNum","NDVIFlag","NDVIRating","Low","Med","High","Region","SMFlag"
"1",1,0,0,0.0672085056955468,0.785799162617319,0.146992331687134,"AB",1
"2",2,0,0,0.130306450355207,0.760431911549243,0.109261638095551,"AB",1
"3",3,0,0,0.123801287891656,0.748140213250671,0.128058498857673,"AB",1
"4",4,0,0,0.185682481016934,0.716351743713991,0.0979657752690756,"AB",1
"5",5,0,0,0.160613206021439,0.762787794101474,0.0765989998770871,"AB",1
"6",6,0,0,0.230053734505412,0.732248391809119,0.0376978736854695,"AB",1
"7",7,0,0,0.232259764499218,0.733911563692257,0.0338286718085252,"AB",1
"8",8,0,0,0.144191206951207,0.824704744409855,0.0311040486389388,"AB",1
"9",9,0,0,0.111741631222866,0.849891915608027,0.0383664531691065,"AB",1
"10",10,0,0,0.0918170690704681,0.877788936331053,0.0303939945984789,"AB",1
"11",11,0,0,0.0430518089252556,0.927427510355664,0.0295206807190809,"AB",1
"12",12,0,0,0.0579341740606996,0.914405286119872,0.0276605398194281,"AB",1
"13",13,0,0,0.478155274307148,0.509107591008446,0.0127371346844051,"AB",1
"14",14,0,0,0,0,0,"AB",1
"15",15,0,0,0,0,0,"AB",1
"16",16,0,0,0,0,0,"AB",1
"17",17,0,0,0,0,0,"AB",1
"18",18,0,0,0,0,0,"AB",1
"19",19,0,0,0,0,0,"AB",1
"20",20,0,0,0,0,0,"AB",1
"21",21,0,0,0,0,0,"AB",1
"22",22,0,0,0,0,0,"AB",1
"23",23,0,0,0,0,0,"AB",1
"24",24,0,0,0,0,0,"AB",1
"25",25,0,0,0,0,0,"AB",1
"26",26,0,0,0,0,0,"AB",1
