"","weekNum","NDVIFlag","NDVIRating","Low","Med","High","Region"
"1",1,1,0,0.169044520492923,0.718256454748478,0.1126990247586,"BC"
"2",2,1,0,0.162271484776185,0.812179051651946,0.0255494635718687,"BC"
"3",3,1,0,0.0864544199214682,0.875783968093559,0.0377616119849725,"BC"
"4",4,1,0,0.0484433885608599,0.881151188255961,0.0704054231831795,"BC"
"5",5,1,0,0.243419023362798,0.68372535713971,0.0728556194974928,"BC"
"6",6,1,0,0.0688427345542176,0.899558967783794,0.0315982976619886,"BC"
"7",7,1,0,0.165852464811072,0.757262106532044,0.0768854286568842,"BC"
"8",8,1,0,0.0835322935722923,0.859733031533906,0.0567346748938017,"BC"
"9",9,1,0,0.0506996113699403,0.860603110585727,0.0886972780443332,"BC"
"10",10,1,0,0.170861871900862,0.705335888555641,0.123802239543498,"BC"
"11",11,1,0,0.201624661528848,0.573691755394097,0.224683583077055,"BC"
"12",12,1,0,0.0407185628742515,0.663622754491018,0.295658682634731,"BC"
"13",13,1,0,0.0719346141742998,0.766999209042431,0.161066176783269,"BC"
"14",14,0,0,0,0,0,"BC"
"15",15,0,0,0,0,0,"BC"
"16",16,0,0,0,0,0,"BC"
"17",17,0,0,0,0,0,"BC"
"18",18,0,0,0,0,0,"BC"
"19",19,0,0,0,0,0,"BC"
"20",20,0,0,0,0,0,"BC"
"21",21,0,0,0,0,0,"BC"
"22",22,0,0,0,0,0,"BC"
"23",23,0,0,0,0,0,"BC"
"24",24,0,0,0,0,0,"BC"
"25",25,0,0,0,0,0,"BC"
"26",26,0,0,0,0,0,"BC"
