"","weekNum","SMFlag","SMRating","Low","Med","High","Region"
"1",1,1,0,0.0555555555555556,0.944444444444444,0,"BC"
"2",2,1,0,0.513513513513513,0.486486486486487,0,"BC"
"3",3,1,0,0.243243243243243,0.756756756756757,0,"BC"
"4",4,1,0,0.216216216216216,0.783783783783784,0,"BC"
"5",5,1,0,0.135135135135135,0.72972972972973,0.135135135135135,"BC"
"6",6,1,0,0.351351351351351,0.648648648648649,0,"BC"
"7",7,1,0,0.205128205128205,0.717948717948718,0.0769230769230769,"BC"
"8",8,1,0,0.256410256410256,0.743589743589744,0,"BC"
"9",9,1,0,0.297297297297297,0.702702702702703,0,"BC"
"10",10,1,0,0.162162162162162,0.837837837837838,0,"BC"
"11",11,0,0,0,0,0,"BC"
"12",12,1,0,0,0.466666666666667,0.533333333333333,"BC"
"13",13,1,0,0.210526315789474,0.631578947368421,0.157894736842105,"BC"
"14",14,1,0,0.210526315789474,0.526315789473684,0.263157894736842,"BC"
"15",15,0,0,0,0,0,"BC"
"16",16,0,0,0,0,0,"BC"
"17",17,0,0,0,0,0,"BC"
"18",18,0,0,0,0,0,"BC"
"19",19,0,0,0,0,0,"BC"
"20",20,0,0,0,0,0,"BC"
"21",21,0,0,0,0,0,"BC"
"22",22,0,0,0,0,0,"BC"
"23",23,0,0,0,0,0,"BC"
"24",24,0,0,0,0,0,"BC"
"25",25,0,0,0,0,0,"BC"
"26",26,0,0,0,0,0,"BC"
