"","WeekNum","Y2017","Baseline","cumBase","cumY2017","pctChg","Low","Med","High"
"1",1,8.6,4.7,4.7,8.6,0.8296,0,0,1
"2",2,0,8.675,13.375,8.6,-0.357,1,0,0
"3",3,0,1,14.375,8.6,-0.4017,1,0,0
"4",4,0,14.1,28.475,8.6,-0.698,1,0,0
"5",5,29.2,26.9125,55.3875,37.8,-0.3175,1,0,0
"6",6,0,20.475,75.8625,37.8,-0.5017,1,0,0
"7",7,34.4,32.3,108.1625,72.2,-0.3325,1,0,0
"8",8,17.4,36.4,144.5625,89.6,-0.3802,1,0,0
"9",9,14.6,18.05,162.6125,104.2,-0.3592,1,0,0
"10",10,36.2,23.25,185.8625,140.4,-0.2446,1,0,0
"11",11,197.6,54.1125,239.975,338,0.4085,0,0,1
"12",12,8.2,57.325,297.3,346.2,0.1645,0,0,1
"13",13,21.2,56.625,353.925,367.4,0.0381,0,1,0
"14",14,33.6,74.0875,428.0125,401,-0.0631,1,0,0
"15",15,57.6,51.3125,479.325,458.6,-0.0432,0,1,0
"16",16,123,58.7,538.025,581.6,0.081,0,0,1
"17",17,79.2,78.75,616.775,660.8,0.0714,0,0,1
"18",18,0.4,34.45,651.225,661.2,0.0153,0,1,0
"19",19,20.8,57.925,709.15,682,-0.0383,0,1,0
"20",20,76.8,46.25,755.4,758.8,0.0045,0,1,0
"21",21,77.2,52.6444444444444,808.044444444444,836,0.0346,0,1,0
"22",22,21.4,66.3555555555556,874.4,857.4,-0.0194,0,1,0
"23",23,83,49.05,923.45,940.4,0.0184,0,1,0
"24",24,39.8,50.875,974.325,980.2,0.006,0,1,0
"25",25,66,44.75,1019.075,1046.2,0.0266,0,1,0
"26",26,145.8,16.0857142857143,1035.16071428571,1192,0.1515,0,0,1
