"","weekNum","snow","Low","Med","High","Region"
"1",1,0,0,0,1,"AB"
"2",2,0,0,0,1,"AB"
"3",3,0,0,0,1,"AB"
"4",4,0,0,0,1,"AB"
"5",5,0,0,0,1,"AB"
"6",6,0,0,0,1,"AB"
"7",7,0,0,0,1,"AB"
"8",8,0,0,0,1,"AB"
"9",9,0.603122891363023,1,0,0,"AB"
"10",10,0.0429634784075574,0,0,1,"AB"
"11",11,0.0496056848852902,0,0,1,"AB"
"12",12,0,0,0,1,"AB"
"13",13,0.632179908906883,1,0,0,"AB"
"14",14,0.632179908906883,1,0,0,"AB"
"15",15,0.632179908906883,1,0,0,"AB"
"16",16,0.632179908906883,1,0,0,"AB"
"17",17,0.623302547233468,1,0,0,"AB"
"18",18,0.59119854925776,1,0,0,"AB"
"19",19,0.631241565452092,1,0,0,"AB"
"20",20,0.632179908906883,1,0,0,"AB"
"21",21,0.632179908906883,1,0,0,"AB"
"22",22,0.632179908906883,1,0,0,"AB"
"23",23,0.632179908906883,1,0,0,"AB"
"24",24,0.632179908906883,1,0,0,"AB"
"25",25,0.632179908906883,1,0,0,"AB"
"26",26,0.632179908906883,1,0,0,"AB"
